Original,Übersetzung,Adequacy,Fluency
"<seg id=""1""> Ich bin Schriftstellerin. </seg>",I am a novelist.,5,5
"<seg id=""2""> Bücher zu schreiben ist mein Beruf, aber es ist natürlich mehr als das. </seg>","Books are my profession, of course, but it is more than that.",4,4
"<seg id=""3""> Es ist auch meine große, lebenslange Liebe und Faszination. </seg>","It is my great, lifelong love and fascination.",4,5
"<seg id=""4""> Und ich erwarte nicht, dass sich das je ändern wird. </seg>",And I do not expect this to change.,4,5
"<seg id=""5""> Allerdings ist kürzliche etwas eigenartiges in meinem Leben und meiner Karriere geschehen, das mich dazu gebracht hat, meinen Bezug zu dieser Arbeit komplett zu überdenken. </seg>","But recent things have happened in my life and career, which has brought me to reconsider my relation to this work altogether.",3,4
"<seg id=""6""> Dieses eigenartige Ereignis war, dass ich kürzlich ein Buch geschrieben habe – eine Biografie namens „Eat, Pray, Love“ –, das, entschieden anders als alle meine vorherigen Bücher aus irgendwelchen Gründen in die Welt hinausging und ein großes Mega-Ereignis, internationales Bestseller-Ding wurde. </seg>","This equity event was that I recently wrote a book – a bipartisan named'eat, Pray, '– which decided, unlike all of my previous books in the world, and became a big mega-event, international bestseller thing.",2,2
"<seg id=""7""> Das Ergebnis ist, dass ich, egal wohin ich komme, behandelt werde als wäre ich dem Untergang geweiht. </seg>","The result is that, no matter where I come, I would be treated as if I refused the demise.",2,4
"<seg id=""8""> Ernsthaft – dem Untergang geweiht! </seg>",The demise of death!,1,4
"<seg id=""9""> Zum Beispiel kommen sie ganz besorgt auf mich zu und sagen: ""Fürchten Sie nicht, dass Sie diesen Erfolg niemals übertreffen werden? </seg>","For example, they are very worried about me and say, ""Don't you fear that you will never exceed that success?",5,5
"<seg id=""10""> Haben Sie keine Angst davor, dass Sie Ihr ganzes Leben weiterschreiben und nie wieder ein Buch erschaffen, das irgendjemanden in der Welt interessiert? Nie wieder?“ </seg>",Do you not fear that you rewrite your entire life and never create a book that anyone in the world want?,2,3
"<seg id=""11""> Okay, das macht wirklich Mut. </seg>","Okay, the power really courage.",1,1
"<seg id=""12""> Es wäre allerdings schlimmer, wenn ich mich nicht daran erinnern würde, dass ich vor über 20 Jahren, als ich als Teenager zum ersten Mal davon erzählte, dass ich Schriftstellerin sein wollte, mit der gleichen Art von angstbesetzter Reaktion konfrontiert worden bin. </seg>","But it would be worse if I did not remind me that I was more than 20 years ago, when I first told myself that I wanted to be the novelist, confronted with the same kind of anxiety.",2,2
"<seg id=""13""> Die Leute sagten: „Hast Du keine Angst, niemals Erfolg zu haben? </seg>","People said, 'are you not afraid to succeed?",1,5
"<seg id=""14""> Hast Du keine Angst, dass Dich die Demütigung einer Absage umbringt? </seg>",Do you have no fear that you reverse the humiliation?,1,3
"<seg id=""15""> Hast Du keine Angst, dass Du diesem Handwerk dein Leben lang nachgehst und daraus nie etwas entsteht und dass du auf einem Schrotthaufen geplatzter Träume sterben wirst – Dein Mund gefüllt mit der bitteren Asche des Versagens?“ </seg>","Do you have no fear that you leave this power for your life and you never have something to happen, and that you will die on a scrapped dreams – your mouth filled with the bitter ash of failure?",2,1
"<seg id=""16""> So ungefähr, Sie wissen schon. </seg>","For example, they know.",1,4
"<seg id=""17""> Die Antwort – die kurze Antwort auf all diese Fragen ist: „Ja.“ </seg>",The answer – the short answer to all these questions is: 'yes.,5,5
"<seg id=""18""> Ja, ich habe Angst vor all diesen Dingen. </seg>","Yes, I fear all of these things.",5,5
"<seg id=""19""> Und die hatte ich immer. </seg>",And I always had it.,2,4
"<seg id=""20""> Und ich habe vor noch viel mehr Dingen angst, die niemand erahnen würde. </seg>",And I have much more fear that no one would appreciate.,2,4
"<seg id=""21""> Wie Algen – und andere furchteinflößende Dinge. </seg>",Like seaweed – and other scary things.,5,4
